# time    temp_kitchen_old_filtered_Mai_2016 (processed by pp_show_filtering.py)
2016-05-01T00:00:18Z    16.8075269512
2016-05-01T00:26:58Z    16.7774877891
2016-05-01T00:53:38Z    16.7452594867
2016-05-01T01:20:18Z    16.7114900991


2016-05-01T02:33:38Z    16.6166777312
2016-05-01T03:00:18Z    16.5837634651
2016-05-01T03:26:58Z    16.5528453071
2016-05-01T03:53:38Z    16.5245672267
2016-05-01T04:20:18Z    16.49947318
2016-05-01T04:46:59Z    16.4779850497
2016-05-01T05:13:39Z    16.4603863916
2016-05-01T05:40:19Z    16.4468128749
2016-05-01T06:06:59Z    16.4372499573
2016-05-01T06:33:39Z    16.4315379671
2016-05-01T07:00:19Z    16.4293843745
2016-05-01T07:26:59Z    16.4303826665
2016-05-01T07:53:39Z    16.4340368916
2016-05-01T08:20:19Z    16.4397906454
2016-05-01T08:46:59Z    16.4470590268


2016-05-01T10:33:40Z    16.4804218271
2016-05-01T11:00:20Z    16.487750868
2016-05-01T11:27:00Z    16.4942263539
2016-05-01T11:53:40Z    16.499856446


2016-05-01T13:43:40Z    16.5193039981
2016-05-01T14:10:20Z    16.5252869523
2016-05-01T14:37:01Z    16.5328086636
2016-05-01T15:03:41Z    16.5423656778
2016-05-01T15:30:21Z    16.5543783258
2016-05-01T15:57:01Z    16.5691493498
2016-05-01T16:23:41Z    16.5868263321
2016-05-01T16:50:21Z    16.6073703924
2016-05-01T17:17:01Z    16.6305334873
2016-05-01T17:43:41Z    16.655846384
2016-05-01T18:40:21Z    16.7133587683
2016-05-01T19:07:02Z    16.740033214
2016-05-01T19:33:42Z    16.764822068
2016-05-01T20:00:22Z    16.7864238221
2016-05-01T20:27:02Z    16.803529764
2016-05-01T20:53:42Z    16.8148998414
2016-05-01T21:20:22Z    16.8194436809
2016-05-01T21:47:02Z    16.8163028666
2016-05-01T22:13:42Z    16.8049301366
2016-05-01T22:40:22Z    16.785160896
2016-05-01T23:07:02Z    16.7572724108
2016-05-01T23:33:42Z    16.7220262742
2016-05-02T00:00:23Z    16.6806902268
2016-05-02T00:27:03Z    16.6350361713
2016-05-02T01:07:03Z    16.5634938769
2016-05-02T01:33:43Z    16.5177806894
2016-05-02T02:00:23Z    16.4772772603
2016-05-02T02:27:03Z    16.445298971
2016-05-02T02:53:43Z    16.4251997166
2016-05-02T03:20:23Z    16.420223732
2016-05-02T03:47:03Z    16.4333512009
2016-05-02T04:13:43Z    16.4671452737
2016-05-02T04:40:24Z    16.5236085782
2016-05-02T05:07:04Z    16.6040573318
2016-05-02T05:33:44Z    16.7090206797
2016-05-02T06:00:24Z    16.838171912
2016-05-02T06:27:04Z    16.9902967507
2016-05-02T06:53:44Z    17.1633020347
2016-05-02T07:20:24Z    17.354265949
2016-05-02T07:47:04Z    17.5595285806
2016-05-02T08:13:44Z    17.7748192034
2016-05-02T08:47:04Z    18.0508100075
2016-05-02T09:13:45Z    18.2709989426
2016-05-02T09:40:25Z    18.4851707154
2016-05-02T10:07:05Z    18.6884384143
2016-05-02T10:33:45Z    18.8762758934
2016-05-02T11:00:25Z    19.0446876819
2016-05-02T11:27:05Z    19.1903513043
2016-05-02T11:53:45Z    19.3107252206
2016-05-02T12:20:25Z    19.4041177662
2016-05-02T12:47:05Z    19.4697148612
2016-05-02T13:13:45Z    19.5075667104
2016-05-02T13:40:25Z    19.518536015
2016-05-02T14:07:06Z    19.5042122378
2016-05-02T14:33:46Z    19.4667980664
2016-05-02T15:00:26Z    19.408975345
2016-05-02T15:27:06Z    19.3337583758
