# time    temp_kitchen_old_raw_Mai_2016 (processed by pp_show_filtering.py)
2016-05-01T00:00:18Z    16.88485
2016-05-01T00:00:26Z    16.88485
2016-05-01T00:01:32Z    16.88485
2016-05-01T00:01:33Z    16.88485
2016-05-01T00:02:57Z    16.88485
2016-05-01T00:02:57Z    16.88485
2016-05-01T00:04:21Z    16.88485
2016-05-01T00:04:22Z    16.88485
2016-05-01T00:05:29Z    16.88485
2016-05-01T00:05:29Z    16.88485
2016-05-01T00:06:58Z    16.88485
2016-05-01T00:07:04Z    16.88485
2016-05-01T00:08:24Z    16.88485
2016-05-01T00:08:27Z    16.88485
2016-05-01T00:09:38Z    16.88485
2016-05-01T00:09:39Z    16.88485
2016-05-01T00:10:55Z    16.88485
2016-05-01T00:10:56Z    16.88485
2016-05-01T00:12:10Z    16.88485
2016-05-01T00:12:11Z    16.88485
2016-05-01T00:13:30Z    16.88485
2016-05-01T00:13:30Z    16.88485
2016-05-01T00:15:39Z    16.88485
2016-05-01T00:15:39Z    16.88485
2016-05-01T00:16:58Z    16.88485
2016-05-01T00:17:00Z    16.88485
2016-05-01T00:18:36Z    16.82185
2016-05-01T00:19:35Z    16.82185
2016-05-01T00:20:03Z    16.82185
2016-05-01T00:40:23Z    16.63485
2016-05-01T00:40:24Z    16.63485
2016-05-01T00:41:38Z    16.63485
2016-05-01T00:41:41Z    16.63485
2016-05-01T00:42:40Z    16.63485
2016-05-01T00:43:04Z    16.63485
2016-05-01T00:43:50Z    16.63485
2016-05-01T00:44:16Z    16.63485
2016-05-01T00:45:36Z    16.63485
2016-05-01T00:45:39Z    16.63485
2016-05-01T00:46:45Z    16.63485
2016-05-01T00:46:49Z    16.63485
2016-05-01T00:48:18Z    16.69685
2016-05-01T00:48:21Z    16.69685
2016-05-01T00:49:29Z    16.63485
2016-05-01T00:49:33Z    16.63485
2016-05-01T00:51:07Z    16.69685
2016-05-01T00:51:12Z    16.63485
2016-05-01T00:51:58Z    16.63485
2016-05-01T00:53:00Z    16.63485
2016-05-01T00:53:31Z    16.63485
2016-05-01T00:54:35Z    16.63485
2016-05-01T00:54:35Z    16.63485
2016-05-01T00:55:42Z    16.63485
2016-05-01T00:55:47Z    16.63485
2016-05-01T00:57:11Z    16.63485
2016-05-01T00:57:14Z    16.63485
2016-05-01T00:58:31Z    16.63485
2016-05-01T00:58:31Z    16.63485
2016-05-01T00:59:53Z    16.63485
2016-05-01T00:59:55Z    16.63485
2016-05-01T01:01:16Z    16.69685
2016-05-01T01:01:16Z    16.69685
2016-05-01T01:02:38Z    16.75985
2016-05-01T01:02:41Z    16.75985
2016-05-01T01:03:29Z    16.82185
2016-05-01T01:03:55Z    16.82185
2016-05-01T01:04:38Z    16.82185
2016-05-01T01:05:21Z    16.88485
2016-05-01T01:05:26Z    16.82185
2016-05-01T01:06:52Z    16.88485
2016-05-01T01:06:53Z    16.88485
2016-05-01T01:08:20Z    16.88485
2016-05-01T01:08:23Z    16.88485
2016-05-01T01:09:12Z    16.88485
2016-05-01T01:09:34Z    16.88485
2016-05-01T01:11:49Z    16.88485
2016-05-01T01:11:51Z    16.88485
2016-05-01T01:13:28Z    16.88485
2016-05-01T01:14:14Z    16.88485
2016-05-01T01:14:43Z    16.88485
2016-05-01T01:16:05Z    16.88485
2016-05-01T01:16:05Z    16.88485
2016-05-01T01:17:35Z    16.88485
2016-05-01T01:17:35Z    16.88485
2016-05-01T01:18:55Z    16.88485
2016-05-01T01:18:55Z    16.88485
2016-05-01T01:20:07Z    16.88485
2016-05-01T01:20:08Z    16.88485
2016-05-01T01:21:25Z    16.82185
2016-05-01T01:21:27Z    16.82185
