# time    temp_living_room_Mai_2016 (processed by pp_show_filtering.py)
2016-05-01T00:00:37Z    16.90985
2016-05-01T00:00:40Z    18.50985
2016-05-01T00:01:54Z    16.90985
2016-05-01T00:01:54Z    18.90985
2016-05-01T00:03:31Z    18.50985
2016-05-01T00:04:39Z    16.90985
2016-05-01T00:04:39Z    18.90985
2016-05-01T00:05:53Z    16.90985
2016-05-01T00:05:56Z    19.00985
2016-05-01T00:07:16Z    16.90985
2016-05-01T00:08:43Z    16.90985
2016-05-01T00:08:45Z    18.40985
2016-05-01T00:10:00Z    16.90985
2016-05-01T00:10:00Z    18.90985
2016-05-01T00:11:13Z    16.90985
2016-05-01T00:11:13Z    18.90985
2016-05-01T00:12:30Z    16.90985
2016-05-01T00:12:30Z    18.90985
2016-05-01T00:13:58Z    16.90985
2016-05-01T00:13:58Z    18.90985
2016-05-01T00:15:57Z    16.90985
2016-05-01T00:15:57Z    18.90985
2016-05-01T00:17:17Z    16.90985
2016-05-01T00:17:30Z    18.40985
2016-05-01T00:19:04Z    16.90985
2016-05-01T00:19:06Z    18.10985
2016-05-01T00:19:49Z    16.90985
2016-05-01T00:20:24Z    16.90985
2016-05-01T00:21:10Z    16.90985
2016-05-01T00:21:34Z    18.10985
2016-05-01T00:22:18Z    16.90985
2016-05-01T00:22:43Z    16.90985
2016-05-01T00:22:51Z    16.90985
2016-05-01T00:24:18Z    16.90985
2016-05-01T00:27:27Z    16.90985
2016-05-01T00:29:06Z    16.80985
2016-05-01T00:30:14Z    16.80985
2016-05-01T00:30:18Z    18.00985
2016-05-01T00:31:01Z    16.90985
2016-05-01T00:31:27Z    16.90985
2016-05-01T00:32:40Z    16.80985
2016-05-01T00:33:58Z    16.80985
2016-05-01T00:34:10Z    18.10985
2016-05-01T00:35:22Z    16.80985
2016-05-01T00:36:38Z    16.90985
2016-05-01T00:36:42Z    18.40985
2016-05-01T00:37:49Z    16.90985
2016-05-01T00:39:10Z    16.90985
2016-05-01T00:40:43Z    16.80985
2016-05-01T00:42:02Z    16.80985
2016-05-01T00:42:55Z    16.90985
2016-05-01T00:43:19Z    18.10985
2016-05-01T00:44:36Z    16.80985
2016-05-01T00:44:36Z    18.80985
2016-05-01T00:45:55Z    16.80985
2016-05-01T00:45:56Z    18.30985
2016-05-01T00:47:05Z    16.80985
2016-05-01T00:47:11Z    18.30985
2016-05-01T00:48:40Z    16.80985
2016-05-01T00:48:41Z    18.40985
2016-05-01T00:49:49Z    16.80985
2016-05-01T00:49:56Z    18.00985
2016-05-01T00:50:38Z    16.80985
2016-05-01T00:51:25Z    16.80985
2016-05-01T00:52:14Z    16.90985
2016-05-01T00:52:31Z    18.10985
2016-05-01T00:53:17Z    16.80985
2016-05-01T00:53:42Z    16.80985
2016-05-01T00:54:52Z    16.80985
2016-05-01T00:54:52Z    18.80985
2016-05-01T00:56:01Z    16.80985
2016-05-01T00:57:28Z    16.80985
2016-05-01T00:57:29Z    18.70985
2016-05-01T00:58:50Z    16.80985
2016-05-01T00:58:55Z    16.80985
2016-05-01T01:00:11Z    16.80985
2016-05-01T01:00:13Z    18.30985
2016-05-01T01:01:33Z    16.80985
2016-05-01T01:01:33Z    18.70985
2016-05-01T01:02:56Z    16.80985
