# time    humidity    error    temperature    
2016-02-12T21:12:54.36545792Z    56.03333    None    15.40985    
2016-02-12T21:13:14.455267072Z    55.73333    None    15.40985    
2016-02-12T21:13:26.962375936Z    55.93333    None    15.40985    
2016-02-12T21:13:39.459053056Z    55.93333    None    15.40985    
2016-02-12T21:13:57.01647104Z    56.13333    None    15.40985    
2016-02-12T21:14:14.605140992Z    56.23333    None    15.40985    
2016-02-12T21:14:29.648997888Z    56.23333    None    15.40985    
2016-02-12T21:14:47.245378048Z    56.23333    None    15.40985    
2016-02-12T21:15:04.80583296Z    56.63333    None    15.40985    
2016-02-12T21:15:17.318553088Z    56.43333    None    15.40985    
2016-02-12T21:15:34.885455104Z    56.83333    None    15.40985    
2016-02-12T21:16:00.06306304Z    56.13333    None    15.40985    
2016-02-12T21:16:15.097424896Z    56.03333    None    15.40985    
2016-02-12T21:16:30.138456064Z    56.13333    None    15.40985    
2016-02-12T21:16:47.69614208Z    56.23333    None    15.40985    
2016-02-12T21:17:05.28048896Z    56.33333    None    15.40985    
2016-02-12T21:17:20.328188928Z    56.53333    None    15.40985    
2016-02-12T21:17:35.356569088Z    56.03333    None    15.40985    
2016-02-12T21:17:47.858532096Z    56.03333    None    15.40985    
2016-02-12T21:18:00.368463872Z    56.03333    None    15.40985    
2016-02-12T21:18:15.42086912Z    56.43333    None    15.40985    
2016-02-12T21:18:27.919732992Z    56.23333    None    15.40985    
2016-02-12T21:18:40.41829504Z    56.03333    None    15.40985    
2016-02-12T21:18:52.928353024Z    55.73333    None    15.40985    
2016-02-12T21:19:07.958275072Z    55.63333    None    15.40985    
2016-02-12T21:19:20.468517888Z    55.33333    None    15.40985    
2016-02-12T21:19:32.97864192Z    54.43333    None    15.40985    
2016-02-12T21:19:48.008422912Z    54.33333    None    15.40985    
2016-02-12T21:20:00.52844288Z    54.63333    None    15.40985    
2016-02-12T21:20:13.02852992Z    54.93333    None    15.40985    
2016-02-12T21:20:25.548780032Z    54.83333    None    15.40985    
2016-02-12T21:20:40.578243072Z    54.83333    None    15.40985    
2016-02-12T21:20:53.088587008Z    55.13333    None    15.40985    
2016-02-12T21:21:05.588652032Z    55.13333    None    15.40985    
2016-02-12T21:21:23.158680064Z    54.83333    None    15.40985    
2016-02-12T21:21:35.669494016Z    54.63333    None    15.40985    
2016-02-12T21:21:48.168620032Z    54.63333    None    15.40985    
2016-02-12T21:22:03.211358976Z    54.43333    None    15.40985    
2016-02-12T21:22:15.718456064Z    54.43333    None    15.40985    
2016-02-12T21:22:28.218620928Z    54.93333    None    15.40985    
2016-02-12T21:22:40.732015104Z    55.03333    None    15.30985    
2016-02-12T21:22:53.238339072Z    54.93333    None    15.30985    
2016-02-12T21:23:08.27664896Z    55.13333    None    15.30985    
2016-02-12T21:23:20.778735104Z    55.23333    None    15.30985    
2016-02-12T21:23:33.288229888Z    55.23333    None    15.30985    
2016-02-12T21:23:48.377712128Z    55.23333    None    15.30985    
2016-02-12T21:24:00.878580992Z    55.13333    None    15.30985    
2016-02-12T21:24:13.379653888Z    55.23333    None    15.30985    
2016-02-12T21:24:28.416921088Z    55.03333    None    15.30985    
2016-02-12T21:25:26.733167104Z    55.03333    None    15.30985    
2016-02-12T21:29:01.318252032Z    55.43333    None    15.20985    
2016-02-12T21:32:32.86810496Z    54.43333    None    15.10985    
2016-02-12T21:36:04.587902976Z    55.23333    None    15.10985    
2016-02-12T21:39:36.158192128Z    54.83333    None    15.00985    
2016-02-12T21:43:07.717990912Z    55.53333    None    15.00985    
2016-02-12T21:46:36.339120896Z    54.73333    None    14.90985    
2016-02-12T21:50:10.39804288Z    54.93333    None    14.80985    
2016-02-12T21:53:41.459190016Z    55.63333    None    14.80985    
2016-02-12T21:57:10.078148096Z    55.53333    None    14.80985    
2016-02-12T22:00:41.609289984Z    55.33333    None    14.70985    
2016-02-12T22:04:13.178092032Z    55.43333    None    14.70985    
2016-02-12T22:07:41.74826496Z    55.83333    None    14.70985    
2016-02-12T22:11:13.308417024Z    55.33333    None    14.60985    
2016-02-12T22:14:44.888205056Z    55.03333    None    14.60985    
2016-02-12T22:18:16.518181888Z    55.63333    None    14.60985    
2016-02-12T22:21:45.118640896Z    55.83333    None    14.60985    
2016-02-12T22:25:16.658266112Z    55.73333    None    14.50985    
2016-02-12T22:28:48.238332928Z    55.63333    None    14.50985    
2016-02-12T22:32:19.808382976Z    56.13333    None    14.50985    
2016-02-12T22:35:51.348198912Z    55.63333    None    14.40985    
2016-02-12T22:39:19.89882496Z    56.13333    None    14.40985    
2016-02-12T22:42:51.428111872Z    55.63333    None    14.40985    
2016-02-12T22:46:22.938333952Z    56.13333    None    14.40985    
2016-02-12T22:49:54.55835392Z    56.53333    None    14.40985    
